Familia_Profesional,Correcto
ACTIVIDADES FÍSICAS Y DEPORTIVAS,0.5116279069767442
ADMINISTRACIÓN Y GESTIÓN,0.5813953488372093
AGRARIA,0.5
ARTES GRÁFICAS,0.5
ARTES Y ARTESANÍAS,0.5
COMERCIO Y MARKETING,0.42857142857142855
EDIFICACIÓN Y OBRA CIVIL,0.55
ELECTRICIDAD Y ELECTRÓNICA,0.4186046511627907
ENERGÍA Y AGUA,0.5
FABRICACIÓN MECÁNICA,0.4857142857142857
HOSTELERÍA Y TURISMO,0.46511627906976744
IMAGEN PERSONAL,0.325
IMAGEN Y SONIDO,0.575
INDUSTRIAS ALIMENTARIAS,0.40540540540540543
INFORMÁTICA Y COMUNICACIONES,0.5116279069767442
INSTALACIÓN Y MANTENIMIENTO,0.3888888888888889
"MADERA, MUEBLE Y CORCHO",0.4827586206896552
MARÍTIMO-PESQUERA,0.4444444444444444
QUÍMICA,0.35135135135135137
SANIDAD,0.4418604651162791
SEGURIDAD Y MEDIO AMBIENTE,0.4146341463414634
SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD,0.4418604651162791
"TEXTIL, CONFECCIÓN Y PIEL",0.4827586206896552
TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS,0.46511627906976744
VIDRIO Y CERÁMICA,0.5
